단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
284430,KODEX 200미국채혼합,12865,30,0.23,12862.6,12860,12895,12815,30348,390361080,81306800000,6320000
252670,KODEX 200선물인버스2X,2160,-10,-0.46,2159.8,2150,2190,2150,104384766,226192969550,1230120000000,569500000
465680,KODEX 24-12 은행채(AA+이상)액티브,10445,0,0,10439.88,10445,10445,10435,4299,44895940,1891693950000,181110000
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,10305,0,0,10302.76,10305,10305,10300,5928,61086025,960735150000,93230000
467940,KODEX 25-11 회사채(A+이상)액티브,10640,5,0.05,10636.09,10635,10640,10630,4588,48806865,431452000000,40550000
491080,KODEX 25-12 은행채(AAA)액티브,100465,25,0.02,100460.77,100455,100465,100455,323,32449695,214090915000,2131000
473290,KODEX 26-12 회사채(AA-이상)액티브,10490,5,0.05,10488.79,10485,10495,10480,26844,281584330,261410800000,24920000
305720,KODEX 2차전지산업,17125,-540,-3.06,17122.43,17625,18015,16950,3408816,58703020690,1150800000000,67200000
462330,KODEX 2차전지산업레버리지,2525,-170,-6.31,2535.91,2695,2725,2470,9231575,23578328125,226240000000,89600000
461950,KODEX 2차전지핵심소재10,6045,-185,-2.97,6040.78,6250,6320,5980,812932,4950179555,119388750000,19750000
457690,KODEX 33-06 국고채액티브,10790,20,0.19,10799.44,10790,10800,10780,6489,70039135,19314100000,1790000
271060,KODEX 3대농산물선물(H),8450,-160,-1.86,8484.07,8550,8550,8425,64586,546500470,28899000000,3420000
457700,KODEX 53-09 국고채액티브,11630,15,0.13,11635.07,11645,11650,11605,11264,130980480,19073200000,1640000
471990,KODEX AI반도체핵심장비,11045,190,1.75,11075.36,11100,11175,10945,797180,8807091500,164018250000,14850000
487240,KODEX AI전력핵심설비,9280,-95,-1.01,9280.66,9430,9430,9210,1794938,16640106350,138272000000,14900000
